userid,key,summary,agent1,agent2,selection,value,time,worseAgent,betterAgent,comparisonType
73d2a080,confidence,first,200,400,200,5,1.50809E+12,200,400,1
c2a29e7e,confidence,first,2000,200,200,2,1.50809E+12,200,2000,3
73d2a080,confidence,random,400,200,400,5,1.50809E+12,200,400,1
c2a29e7e,confidence,max,2000,400,2000,4,1.50809E+12,400,2000,2
73d2a080,confidence,first,2000,200,200,5,1.50809E+12,200,2000,3
9ef29fbb,confidence,random,400,200,200,7,1.50809E+12,200,400,1
c2a29e7e,confidence,max,2000,200,2000,7,1.50809E+12,200,2000,3
6de29ff1,confidence,first,2000,200,200,5,1.50809E+12,200,2000,3
73d2a080,confidence,random,200,2000,2000,5,1.50809E+12,200,2000,3
9ef29fbb,confidence,max,2000,400,2000,6,1.50809E+12,400,2000,2
6de29ff1,confidence,max,400,200,200,3,1.50809E+12,200,400,1
6de29ff1,confidence,random,400,200,200,5,1.50809E+12,200,400,1
6de29ff1,confidence,max,400,2000,2000,3,1.50809E+12,400,2000,2
6de29ff1,confidence,random,200,2000,200,2,1.50809E+12,200,2000,3
1ec2a554,confidence,max,2000,200,2000,5,1.50809E+12,200,2000,3
1ec2a554,confidence,max,200,400,400,3,1.50809E+12,200,400,1
1ec2a554,confidence,first,200,400,200,4,1.50809E+12,200,400,1
1ec2a554,confidence,first,400,2000,2000,4,1.50809E+12,400,2000,2
1ec2a554,confidence,random,200,400,200,6,1.50809E+12,200,400,1
1ec2a554,confidence,random,400,2000,2000,5,1.50809E+12,400,2000,2
1ec2a554,confidence,max,400,2000,2000,6,1.50809E+12,400,2000,2
1ec2a554,confidence,random,200,2000,2000,3,1.50809E+12,200,2000,3
1ec2a554,confidence,first,200,2000,200,4,1.50809E+12,200,2000,3
ebb29e26,confidence,max,200,400,400,5,1.50809E+12,200,400,1
ebb29e26,confidence,random,400,200,400,6,1.50809E+12,200,400,1
ebb29e26,confidence,max,400,2000,2000,7,1.50809E+12,400,2000,2
ebb29e26,confidence,random,400,2000,2000,6,1.50809E+12,400,2000,2
ebb29e26,confidence,first,2000,400,2000,4,1.50809E+12,400,2000,2
ebb29e26,confidence,max,200,2000,2000,7,1.50809E+12,200,2000,3
ebb29e26,confidence,random,2000,200,2000,6,1.50809E+12,200,2000,3
ebb29e26,confidence,first,200,2000,200,4,1.50809E+12,200,2000,3
ebb29e26,confidence,first,400,200,400,4,1.50809E+12,200,400,1
